reg_std,mean,median,length,featsavg,feats_std,feats_med,th25,th50,th75,low,class
17.635,106.59,112.65,517,80.348,10.977,82.288,72.691,82.288,88.597,57.475,1
18.797,106.57,112.62,610,78.696,18.197,88.43,70.271,88.43,90.002,27.826,0
22.206,102.57,112.58,460,69.007,14.971,68.441,55.89,68.441,82.319,38.9,0
21.701,104.97,112.6,1541,70.374,19.863,76.448,60.57,76.448,86.13,11.238,1
16.316,111.56,118.69,1006,82.221,14.501,87.229,75.859,87.229,90.912,32.697,0
17.873,109.47,112.88,1216,76.113,19.002,83.571,64.51,83.571,88.662,22.984,2
20.74,106.59,112.68,604,73.426,14.817,73.435,62.63,73.435,88.352,31.113,0
15.644,110.13,113,805,82.924,11.131,86.308,73.999,86.308,91.686,58.53,1
21.943,104.65,112.74,971,72.675,15.421,76.007,63.4,76.007,85.312,30.341,0
25.091,103.51,112.67,612,61.941,19.521,60.645,45.595,60.645,80.33,21.638,1
24.578,102.86,112.67,559,64.983,18.057,66.629,47.779,66.629,78.268,28.265,1
20.922,107.89,118.69,417,74.767,17.173,81.429,61.271,81.429,88.547,38.48,0
22.874,98.897,104.81,304,69.203,16.526,70.177,58.65,70.177,82.683,20.867,0
15.888,108.86,112.7,869,81.684,13.416,87.512,71.706,87.512,91.329,41.965,2
19.468,106.72,112.7,598,75.771,14.049,78.038,64.305,78.038,87.11,35.776,1
20.572,106.02,112.54,746,71.935,16.884,74.756,57.274,74.756,88.562,36.485,0
21.614,105.1,112.7,884,70.963,17.413,73.734,61.561,73.734,85.422,19.603,0
16.711,106.12,110.95,470,80.389,11.252,83.523,71.714,83.523,89.595,52.441,1
15.708,108.81,112.79,793,80.235,14.127,85.638,69.737,85.638,92.119,43.267,1
15.633,112.6,118.71,2574,83.532,15.543,87.888,74.374,87.888,96.698,23.664,2
13.101,112.83,115.62,2199,86.814,12.877,90.244,78.662,90.244,97.879,55.809,1
15.721,113,118.73,2589,82.734,16.358,87.508,70.965,87.508,96.829,28.848,2
14.509,113.79,118.69,1050,84.56,17.017,89.7,74.799,89.7,97.978,32.123,1
16.097,111.68,118.68,3542,82.249,14.404,85.611,70.838,85.611,94.168,39.545,2
14.157,111.42,113.66,2020,84.878,12.693,88.736,76.418,88.736,95.691,49.809,2
13.975,113.74,118.72,1307,86.152,13.262,89.641,75.393,89.641,99.645,54.4,1
12.217,115.51,118.75,1113,87.88,13.318,92.655,78.977,92.655,98.824,59.864,1
14.487,112.33,114.99,3044,83.716,15.936,88.657,76.654,88.657,96.868,19.462,2
16.783,110.19,114.53,527,81.009,12.36,82.85,68.178,82.85,92.143,55.868,0
12.307,114.78,118.73,3543,88.95,13.398,94.789,79.015,94.789,100.43,44.473,2
15.961,112.8,116.7,2014,82.297,23.34,90.348,76.815,90.348,98.182,6.2139,1
14.27,113.4,118.73,2175,84.516,12.01,85.242,73.786,85.242,95.294,56.77,1
13.814,113.89,118.71,819,86.407,13.518,89.053,79.131,89.053,98.79,48.073,1
16.742,109.35,113.29,1138,82.925,13.082,86.151,75.928,86.151,93.767,30.584,1
15.22,113.11,118.75,1090,83.914,12.551,84.663,73.85,84.663,95.548,48.929,0
17.451,107.57,112.67,613,79.347,12.249,79.782,70.3,79.782,89.862,41.284,1
16.917,109.44,113.01,1069,79.554,16.136,83.377,72.442,83.377,91.692,25.266,1
18.012,109.39,113.85,691,79.295,14.022,79.085,67.611,79.085,93.318,43.86,0
17.388,111.34,118.73,789,82.175,15.87,87.698,74.639,87.698,93.793,24.208,0
13.417,113.05,116.61,661,85.936,15.056,90.275,78.102,90.275,98.324,30.853,1
22.133,108.6,116.71,332,66.214,20.139,66.743,48.27,66.743,88.632,25.617,1
14.678,111.89,115.62,727,84.68,13.612,88.893,78.652,88.893,94.835,42.215,1
15.612,111.8,116.64,1180,82.635,16.489,89.001,72.859,89.001,95.121,28.905,1
12.587,114.51,118.73,667,89.578,12.624,91.391,82.546,91.391,101.03,60.173,0
17.432,109.08,113.28,952,80.041,12.946,82.27,67.755,82.27,91.695,46.35,0
16.835,110.28,113.73,2082,79.215,18.668,84.086,66.562,84.086,94.811,12.038,2
14.645,111.87,114.1,1384,84.53,12.451,88.594,72.089,88.594,95.161,57.931,2
13.1,113.78,118.68,4511,87.084,16.062,93.599,79.213,93.599,99.017,18.742,1
13.682,113.03,118.65,1908,86.042,12.569,89.161,78.418,89.161,96.305,53.702,2
14.064,114.41,118.74,2301,86.354,14.992,90.673,77.548,90.673,98.941,34.888,2
17.778,106.86,112.6,849,79.94,11.876,80.175,69.386,80.175,91.841,50.726,2
20.659,108.92,116.66,1790,73.35,18.545,78.186,60.406,78.186,89.564,25.538,2
11.926,114.68,118.71,2480,89.47,12.661,92.863,82.023,92.863,100.11,58.385,1
17.854,110.96,116.65,1582,77.311,17.838,80.302,65.491,80.302,92.094,19.278,2
15.564,110.56,113,830,84.666,17.003,88.708,79.359,88.708,96.477,15.453,0
15.953,110.36,113.08,3375,81.263,15.093,85.872,72.486,85.872,93.377,21.655,2
13.828,111.61,113.56,1174,85.853,11.638,89.505,77.996,89.505,95.026,57.931,1
15.545,113.05,118.73,3404,83.522,15.042,87.811,71.96,87.811,96.701,28.633,2
17.831,111.74,118.75,772,81.579,13.833,86.082,71.55,86.082,93.063,42.067,0
13.717,112.56,116.58,2590,85.667,13.287,89.18,78.579,89.18,95.76,42.215,2
13.822,114.27,118.73,1510,84.634,14.266,88.307,75.58,88.307,94.499,41.067,2
15.374,111.96,118.58,747,83.551,11.483,84.291,76.079,84.291,93.669,58.451,1
15.377,111.11,114.61,755,83.434,13.611,88.525,76.664,88.525,95.261,45.519,0
17.595,109.86,116.66,632,79.678,14.662,81.987,69.82,81.987,92.501,36.96,0
15.372,112.79,118.74,947,85.749,13.24,89.583,75.667,89.583,97.314,54.536,1
15.558,112.82,118.7,741,81.146,17.371,86.412,72.292,86.412,96.815,31.551,0
14.321,111.12,113.01,1353,85.39,12.236,88.317,78.899,88.317,96.216,46.12,2
16.386,109.96,113.69,706,80.941,16.305,86.536,68.632,86.536,92.752,27.646,0
16.2,110.98,116.75,1425,83.285,14.4,86.93,77.123,86.93,93.754,25.765,2
16.575,110.63,116.63,746,80.446,15.198,82.726,70.727,82.726,92.638,37.173,1
21.221,107.22,112.97,1577,71.537,21.124,78.409,56.059,78.409,88.049,15.373,1
15.325,110.19,112.84,1588,79.629,18.582,85.573,67.132,85.573,95.195,20.258,2
16.158,110.49,113.06,4069,80.112,18.18,86.42,71.778,86.42,94.31,17.685,2
19.2,108.42,113.24,2266,74.155,18.955,78.061,59.886,78.061,90.007,17.742,2
21.912,104.23,112.47,1195,67.633,21.36,73.398,53.022,73.398,85.954,7.3695,1
22.327,102.99,108.37,886,64.862,21.847,65.958,48.872,65.958,86.171,12.87,1
16.081,110.07,112.99,1738,78.598,17.617,83.904,66.829,83.904,92.239,18.493,2
16.727,109.94,112.97,3198,76.927,19.381,83.53,65.725,83.53,90.953,19.511,2
19.533,106.43,112.66,1349,72.203,20.983,77.579,54.665,77.579,90.769,11.737,2
16.055,109.04,112.87,642,83.899,14.433,89.022,78.287,89.022,94.785,42.648,0
15.573,111.97,115.63,2364,80.953,16.327,83.63,71.209,83.63,94.541,35.994,2
16.825,108.34,112.67,1126,78.713,20.235,86.499,70.931,86.499,94.524,19.258,2
17.474,109.92,113.25,2561,77.743,21.02,86.477,65.906,86.477,93.724,15.924,2
20.293,108.04,113.14,635,68.789,19.687,69.462,51.612,69.462,86.019,29.336,1
15.964,108.4,112.84,835,76.35,15.614,78.03,65.703,78.03,89.558,42.852,1
14.864,110.32,113.28,1061,81.143,14.839,85.356,72.403,85.356,92.153,36.456,1
20.391,105.25,112.57,643,71.996,19.045,77.918,53.021,77.918,89.761,35.943,1
16.891,109.37,112.97,1070,79.589,16.144,84.373,69.652,84.373,93.055,30.67,1
20.902,105.36,112.53,641,69.757,17.66,73.822,56.589,73.822,85.081,19.967,1
20.456,107.25,112.84,688,72.58,20.369,78.078,55.293,78.078,90.379,27.889,1
18.274,109.09,115,644,78.024,13.252,77.661,67.132,77.661,89.719,37.641,0
17.378,107.9,112.64,651,79.12,16.867,85.117,69.076,85.117,94.175,41.611,1
15.321,110.69,112.82,1019,80.355,19.496,88.986,68.327,88.986,94.538,19.489,2
18.998,107.23,112.74,2193,75.832,19.386,83.127,63.99,83.127,91.285,17.578,2
19.472,107.03,112.62,966,74.503,16.267,76.944,63.831,76.944,88.802,20.919,1
21.252,104.8,112.51,671,70.459,18.997,76.134,55.081,76.134,88.455,19.402,2
19.599,106.71,112.76,2052,75.944,15.577,78.293,65.596,78.293,88.989,33.245,2
15.086,111.95,116.62,2097,83.977,15.172,88.559,76.789,88.559,95.929,29.035,0
15.197,110.27,112.96,3400,83.572,16.637,89.036,79.931,89.036,94.878,12.478,2
15.904,111.77,116.64,4170,81.12,18.267,87.923,70.011,87.923,95.385,21.073,2
13.589,112.73,114.57,1428,87.984,13.383,91.451,83.105,91.451,100.05,42.921,0
18.029,109.32,113.09,627,76.484,15.166,79.556,66.335,79.556,90.115,32.645,0
16.989,109.27,113.08,1165,79.023,16.508,84.724,68.4,84.724,91.234,34.085,0
15.819,110.57,113.05,1904,82.463,15.708,87.639,70.683,87.639,95.269,26.137,1
15.63,111.63,116.12,1122,82.097,14.377,86.6,70.922,86.6,93.732,40.335,0
16.982,111.48,116.66,1259,82.087,17.977,88.594,70.258,88.594,96.602,21.933,0
15.534,110.64,114.61,4431,83.921,12.586,86.653,77.137,86.653,93.794,36.821,2
13.6,112.92,116.69,1236,86.661,12.004,89.434,78.774,89.434,96.873,57.924,1
21.472,105.26,112.66,3303,71.827,17.568,75.724,60.892,75.724,86.856,8.8509,1
16.622,110.39,114.98,813,81.908,14.353,87.222,71.07,87.222,92.662,44.326,0
14.185,111.3,112.97,1458,84.472,13.667,89.121,79.031,89.121,94.623,43.878,1
21.485,107.43,116.07,1161,72.947,18.153,76.856,63.853,76.856,88.535,16.072,0
17.742,108.35,112.79,1064,78.259,15.999,84.206,66.578,84.206,90.071,29.464,1
20.038,106.68,112.7,861,77.132,16.996,83.194,68.659,83.194,88.863,25.206,0
17.265,107.94,112.63,398,83.449,10.877,87.897,78.466,87.897,90.868,55.529,0
20.055,106.3,112.83,618,74.711,15.272,77.7,64.489,77.7,88.597,39.191,0
12.657,113.19,116.69,963,88.667,10.325,91.349,83.265,91.349,97.036,64.363,0
18.607,107.52,112.88,652,80.803,13.472,86.488,72.989,86.488,90.839,41.047,0
13.826,111.49,114.61,755,86.9,10.626,89.596,80.41,89.596,94.493,58.535,0
14.53,111.85,116.67,1995,87.09,11.171,89.438,81.541,89.438,96.286,52.651,1
12.758,114.57,118.74,1549,89.203,10.358,89.816,84.196,89.816,97.064,58.312,0
18.225,107.56,112.52,1092,79.328,12.386,81.018,69.359,81.018,90.394,47.418,0
15.397,111.55,114.09,2010,82.24,13.479,86.007,73.354,86.007,92.659,33.5,0
13.78,112.84,115.56,1418,86.034,14.589,88.746,76.969,88.746,97.368,33.042,0
16.437,112.54,118.71,3187,81.726,19.014,88.944,67.992,88.944,97.861,23.54,0
12.931,114.11,118.71,2627,89.397,13.224,93.352,85.381,93.352,99.965,39.712,0
13.503,112.43,115.63,2255,86.869,11.549,88.323,79.194,88.323,96.541,47.276,0
15.412,111.95,115.69,3026,84.509,16.153,89.228,77.129,89.228,96.409,21.59,0
13.389,112.42,114.27,2529,86.333,13.611,89.93,80.323,89.93,96.826,40.329,0
13.601,113.8,118.73,2828,88.068,12.897,91.222,84.583,91.222,97.001,33.885,0
13.336,115.16,118.75,1471,87.336,15.55,88.769,83.483,88.769,100.17,25.896,0
12.899,112.76,116.66,556,90.835,8.5349,91.207,82.725,91.207,100.19,75.439,0
14.043,112.36,116.65,5860,87.372,12.776,91.675,81.948,91.675,97.539,38.772,0
12.682,112.66,115.04,1733,89.283,9.5158,91.879,84.958,91.879,96.309,60.443,0
13.684,113.77,118.7,4423,86.999,15.068,91.436,80.579,91.436,97.986,26.052,0
12.812,116.07,118.79,1325,90.161,10.724,91.528,84.802,91.528,98.958,60.69,0
14.747,113.01,118.71,1506,85.649,13.516,88.426,77.019,88.426,96.502,27.993,0
13.803,113.56,118.72,1792,86.651,13.08,88.564,78.639,88.564,97.044,43.713,0
17.517,108.24,112.95,1474,80.608,13.934,85.209,68.432,85.209,92.322,47.992,0
15.811,112.98,118.75,1048,85,14.561,88.664,76.612,88.664,97.4,41.693,0
18.283,110.46,118.69,707,80.455,16.42,85.453,69.084,85.453,94.79,33.042,0
16.762,110.7,118.67,860,80.708,14.169,83.118,72.651,83.118,91.8,45.481,0
20.286,108.76,118.74,507,77.256,15.148,77.713,64.556,77.713,90.601,32.126,0
20.49,105.63,112.84,638,74.269,14.707,77.511,63.572,77.511,87.518,36.609,0
15.086,111.81,114.32,1134,85.133,17.178,92.031,78.811,92.031,98.017,20.633,0
13.751,113.28,118.71,1596,87.879,11.885,90.541,83.329,90.541,96.902,44.194,0
17.92,107.94,112.99,707,80.641,12.506,84.409,73.467,84.409,89.935,37.48,0
16.883,111.81,118.72,1686,82.325,16.669,88.244,73.441,88.244,95.386,22.204,0
13.564,113.02,115.65,2700,87.396,13.082,90.011,80.647,90.011,97.886,43.207,2
16.955,110.42,116.71,1198,80.764,13.16,84.809,71,84.809,89.894,40.561,2
17.474,112.85,118.75,1321,78.353,20.337,85.485,63.502,85.485,95.198,25.703,2
15.413,112.56,118.7,2315,82.508,16.023,87.518,72.313,87.518,95.007,32.6,2
13.842,111.22,113.49,891,86.82,11.2,88.516,80.657,88.516,96.427,53.36,2
19.821,108.49,112.93,721,74.305,17.867,76.8,65.174,76.8,88.494,14.594,2
17.626,109.22,113.75,1242,81.132,14.924,85.395,71.277,85.395,93.749,34.546,2
13.644,114.96,118.75,1734,86.973,14.75,92.505,80.147,92.505,97.706,36.404,2
17.102,108.19,112.82,1128,79.083,13.124,81.695,67.553,81.695,89.463,37.527,2
15.242,111.16,114.21,664,79.85,12.824,81.079,69.138,81.079,89.696,47.667,2
16.081,110.63,115.03,3593,83.133,13.167,86.579,76.805,86.579,92.798,25.249,2
14.265,111.68,114.62,1776,86.187,10.879,88.684,79.462,88.684,93.954,53.901,2
14.709,112.64,118.67,3770,85.517,15.237,89.581,77.161,89.581,96.907,17.478,2
20.044,108.22,113.25,990,73.436,19.848,79.776,61.937,79.776,89.206,24.137,2
15.496,109.17,113.03,1025,83.153,14.473,88.267,79.951,88.267,93.259,25.105,2
19.777,109.79,118.7,1403,77.249,18.656,81.877,66.385,81.877,94.143,28.69,2
17.487,109.46,113.45,1007,79.713,16.161,84.763,71.91,84.763,92.791,38.152,1
22.249,99.945,106.62,426,71.149,12.875,73.158,62.022,73.158,82.202,34.344,2
16.779,108.77,112.84,456,80.832,13.023,86.484,72.068,86.484,89.054,43.118,1
19.371,107.79,114.18,676,79.155,15.078,85.001,70.726,85.001,89.837,41.169,1
16.616,108.58,113.04,537,79.91,11.265,82.216,72.679,82.216,88.47,49.558,2
16.301,112.04,115.01,743,81.774,18.506,88.369,72.493,88.369,95.506,5.8568,1
14.484,112.5,118.67,1269,87.631,14.413,90.93,83.587,90.93,97.334,30.897,2
16.214,111.82,116.6,863,77.698,14.763,82.35,64.83,82.35,88.902,46.421,2
16.67,108.89,112.79,1277,82.092,13.05,88.102,76.205,88.102,89.846,22.899,2
